ZIPCODE,IDS,POSICIÓN,POPULATION_2016,EXTENSION,DENSITY,REGION
20903,73.7,114,1151,16.39,70.23,PACÍFICO CENTRAL
20404,73.35,117,1353,21.13,64.03,PACÍFICO CENTRAL
60115,72.68,127,19301,7.94,2430.86,PACÍFICO CENTRAL
60401,72.22,132,8585,125.87,68.21,PACÍFICO CENTRAL
60201,71.95,135,19828,18.95,1046.34,PACÍFICO CENTRAL
61101,70.22,158,15891,140.41,113.18,PACÍFICO CENTRAL
60101,70.06,160,9963,35.63,279.62,PACÍFICO CENTRAL
60206,69.58,164,3631,62.01,58.57,PACÍFICO CENTRAL
20902,68.89,176,2033,9.15,222.19,PACÍFICO CENTRAL
20402,68.33,188,1110,21.66,51.25,PACÍFICO CENTRAL
60109,65.92,210,4660,52.97,87.97,PACÍFICO CENTRAL
60403,65.35,216,3707,58.47,63.4,PACÍFICO CENTRAL
60601,64.46,225,23210,222.89,104.13,PACÍFICO CENTRAL
60112,63.13,236,19257,4.84,3978.72,PACÍFICO CENTRAL
60204,62.77,243,1561,34.35,45.44,PACÍFICO CENTRAL
60205,62.02,257,879,49.95,17.6,PACÍFICO CENTRAL
60603,60.32,273,4061,104.64,38.81,PACÍFICO CENTRAL
60108,59.72,282,35415,35.07,1009.84,PACÍFICO CENTRAL
60202,57.96,295,5153,18.7,275.57,PACÍFICO CENTRAL
60111,56.26,313,9063,316.61,28.63,PACÍFICO CENTRAL
61102,56.21,315,7534,175.9,42.83,PACÍFICO CENTRAL
60105,55.97,320,7829,337.88,23.17,PACÍFICO CENTRAL
60402,53.83,343,1440,60.42,23.83,PACÍFICO CENTRAL
60901,53.69,345,18692,478.79,39.04,PACÍFICO CENTRAL
60102,52.78,352,2503,115.85,21.61,PACÍFICO CENTRAL
20904,51.72,365,6828,36.73,185.9,PACÍFICO CENTRAL
60602,51.37,372,3862,216.24,17.86,PACÍFICO CENTRAL
60106,50.85,377,3203,58.86,54.42,PACÍFICO CENTRAL
20905,50.82,378,2311,59.66,38.74,PACÍFICO CENTRAL
60104,50.18,385,10118,420.46,24.06,PACÍFICO CENTRAL
60116,47.8,402,737,45,16.38,PACÍFICO CENTRAL
60107,46.41,415,1117,106.23,10.51,PACÍFICO CENTRAL
60114,43.62,439,1465,110.54,13.25,PACÍFICO CENTRAL
60103,43.6,440,6181,127.6,48.44,PACÍFICO CENTRAL
60113,42.2,450,1628,43,37.86,PACÍFICO CENTRAL
